szerokość przekroju;wysokość przekroju;rozpiętość;stopień zbrojenia;średnica zbrojenia;Otulina;Moduł Younga stali;Moduł Younga betonu;Wytrzymałość betonu na rozciąganie;Obciążenie;Ugięcia
0.15;0.2;2.8;0.5;0.008;0.025;200;28;2;35;0.029773317
0.17;0.26;7.5;1.11;0.009;0.03;200;30;2.6;43.6;0.143488787
0.2;0.26;4.5;1.07;0.012;0.035;200;30;2.1;42;0.028026285
0.17;0.24;6.5;0.84;0.01;0.032;200;29;2.1;38.7;0.142717987
0.24;0.3;6.9;1.08;0.008;0.034;200;28;2.2;43.9;0.051674901
0.24;0.21;3.6;0.94;0.008;0.035;200;28;2.4;36.1;0.023679917
0.21;0.39;4.4;1.25;0.024;0.03;200;32;2.1;41.9;0.004811378
0.21;0.27;4.9;0.8;0.015;0.03;200;31;2.4;39.6;0.033594877
0.23;0.35;3.4;1.24;0.009;0.036;200;28;2.5;44.3;0.002650082
0.23;0.31;5.9;0.58;0.023;0.03;200;31;2.3;37.4;0.042447406
0.2;0.2;7.7;0.94;0.013;0.034;200;30;2.8;36.6;0.357385713
0.2;0.28;3.9;0.52;0.008;0.033;200;28;2.8;41.4;0.022965293
0.17;0.35;2.9;0.68;0.023;0.028;200;32;2.5;45;0.004229108
0.15;0.33;3.2;0.55;0.016;0.037;200;33;2.6;40.4;0.009357404
0.21;0.31;6;0.95;0.013;0.037;200;29;2.5;40.9;0.037132217
0.19;0.31;3.5;1.02;0.019;0.035;200;33;2.3;36.2;0.006262338
0.19;0.27;7;0.77;0.017;0.037;200;30;2.6;38.1;0.122402441
0.23;0.33;6.5;0.69;0.009;0.028;200;30;2.8;38.9;0.03681007
0.21;0.23;5.1;0.82;0.024;0.038;200;31;2.6;40.9;0.084212549
0.18;0.32;3.3;1.06;0.013;0.033;200;31;2;40.1;0.005252789
0.25;0.28;7.2;0.68;0.015;0.031;200;30;2.2;40.9;0.096246645
0.15;0.35;5.4;0.85;0.012;0.034;200;28;2.5;36.9;0.023698212
0.25;0.36;5;1.11;0.024;0.028;200;28;2;42.9;0.009165006
0.2;0.36;6.5;0.81;0.014;0.03;200;31;2.4;43.5;0.03317007
0.18;0.31;3.9;0.66;0.016;0.031;200;29;2.3;43.5;0.016016432
0.25;0.39;6.8;1.17;0.011;0.036;200;32;2.7;43.7;0.016648199
0.25;0.24;5.7;0.55;0.021;0.035;200;30;2.5;37.8;0.100273145
0.2;0.3;5.2;0.99;0.009;0.032;200;30;2.2;39.8;0.024624778
0.22;0.28;5.7;0.91;0.011;0.033;200;29;2.8;35.1;0.035447244
0.22;0.33;5.7;1;0.024;0.028;200;30;2.8;41.8;0.022044132
0.21;0.36;4.4;0.67;0.013;0.03;200;29;2.4;36.1;0.008589723
0.17;0.32;5.2;0.8;0.022;0.027;200;32;2.3;43.4;0.030505064
0.19;0.37;5;0.87;0.017;0.032;200;32;2.5;36.5;0.010969995
0.16;0.28;5.8;0.68;0.009;0.038;200;32;2.3;43.4;0.087387394
0.2;0.36;7;1.01;0.017;0.035;200;32;2;41.9;0.035876816
0.2;0.36;3.6;1.18;0.022;0.034;200;29;2.1;39.7;0.003674823
0.19;0.29;5.4;1.29;0.017;0.034;200;30;2.2;43.9;0.031985639
0.19;0.36;4.9;1.29;0.023;0.033;200;31;2.5;39.7;0.009453441
0.2;0.29;6.9;0.96;0.021;0.027;200;29;2.4;38.1;0.065561048
0.19;0.33;5.7;1.09;0.01;0.033;200;32;2.2;38.6;0.022154794
0.16;0.32;4.3;1.28;0.025;0.038;200;29;2.7;35.2;0.011171166
0.16;0.32;5.8;0.77;0.017;0.034;200;30;2.6;39.2;0.04438917
0.22;0.29;6.9;0.69;0.017;0.026;200;32;2.3;35.2;0.067769148
0.24;0.34;3.8;1.14;0.022;0.038;200;31;2.6;43.6;0.004874273
0.18;0.34;6.3;0.88;0.011;0.029;200;31;2.1;38.9;0.033607826
0.21;0.31;6.9;1.06;0.011;0.033;200;30;2.8;40.4;0.047943259
0.2;0.3;7.6;1.01;0.015;0.03;200;29;2.7;38;0.074302305
0.23;0.33;7.1;1.07;0.021;0.039;200;30;2.6;39;0.041061156
0.16;0.2;6.7;0.93;0.016;0.028;200;32;2.1;36.6;0.270310718
0.17;0.33;4.8;1.08;0.015;0.026;200;32;2.5;39.1;0.014085167
0.25;0.22;7.7;0.73;0.011;0.037;200;32;2.2;41.4;0.283541929
0.23;0.27;4.7;0.66;0.013;0.035;200;31;2.6;40;0.033296211
0.16;0.35;6.5;0.98;0.012;0.03;200;32;2.1;41.9;0.037911307
0.21;0.31;4.8;1.03;0.02;0.027;200;30;2.5;42.9;0.016848973
0.24;0.23;6.7;1.16;0.009;0.039;200;29;2.2;37.6;0.107133869
0.2;0.26;7.7;1.02;0.013;0.026;200;32;2;41.5;0.129020407
0.2;0.4;5;1.2;0.018;0.038;200;31;2;42.4;0.007883115
0.19;0.35;7.4;1.13;0.011;0.037;200;33;2.2;35.3;0.036949928
0.19;0.27;4.3;0.75;0.017;0.033;200;30;2.6;42.2;0.029815418
0.17;0.39;3.9;0.86;0.018;0.034;200;31;2.1;43.7;0.006221406
0.16;0.21;3.8;0.61;0.019;0.031;200;30;2.2;40.5;0.069896509
